sleep_hours,study_hours,screen_time_hours,social_media_hours,physical_activity_minutes,caffeine_intake_mg,mood_score,fatigue_level,assignment_load,deadline_pressure,social_interaction_score,financial_worry_score,health_condition_score,stress_level
7.21,5.12,7.0,2.07,43,183,6,7,8,7,6,6,5,Medium
7.31,4.85,6.94,2.47,44,47,5,7,5,5,7,6,6,Medium
8.23,4.03,7.4,3.1,14,49,4,7,7,5,7,7,5,Medium
6.94,3.16,6.55,2.97,56,107,4,5,3,5,9,6,6,Medium
24.0,4.19,5.87,3.47,45,93,6,4,7,4,4,7,9,Medium
6.84,5.16,7.08,2.9,55,111,4,6,8,4,7,9,6,Medium
24.0,4.64,5.73,2.32,37,3,7,7,6,4,6,9,6,Medium
6.84,4.5,5.66,2.45,35,0,3,6,3,3,5,6,4,Medium
7.03,5.6,5.99,1.65,36,67,4,5,5,7,5,5,5,Medium
7.27,4.53,6.98,1.36,39,133,4,5,6,3,4,6,8,Medium
8.11,4.86,7.72,3.7,38,61,5,6,4,4,9,5,4,Medium
7.22,6.36,7.59,3.29,44,7,3,7,4,2,5,4,5,Medium
6.85,5.63,6.15,2.35,40,110,3,6,7,5,7,4,8,Medium
8.05,3.76,6.11,6.11,25,111,8,3,2,3,8,5,5,Low
7.63,4.87,6.98,2.31,35,51,3,5,6,5,7,7,8,Medium
6.69,7.97,4.85,1.14,48,128,4,4,3,5,4,4,7,Medium
8.33,4.28,7.45,2.53,53,44,5,5,4,7,10,4,7,Medium
7.9,4.01,5.96,3.52,40,39,5,5,6,2,5,7,8,Medium
7.13,5.43,6.68,1.97,15,27,4,7,4,2,7,6,4,Low
7.99,5.86,6.54,2.9,51,73,7,4,3,5,8,5,8,Low
5.74,5.47,6.74,1.42,21,87,6,7,4,5,9,7,5,Medium
6.49,5.89,4.74,2.29,50,0,4,5,6,4,6,4,6,Medium
6.38,4.36,5.53,1.26,24,0,5,5,4,5,7,7,6,Medium
7.25,2.25,5.43,3.14,40,40,7,4,5,4,9,5,7,Medium
6.43,1.94,7.33,1.83,42,20,3,6,5,3,7,7,5,Medium
6.15,6.5,7.25,2.31,27,0,3,5,3,7,8,3,6,Medium
7.85,4.65,6.5,1.9,19,73,6,6,5,5,3,7,7,Medium
6.09,5.31,6.44,2.39,22,66,3,5,4,7,6,5,5,Medium
7.27,4.67,6.06,1.0,43,64,5,5,7,6,5,5,9,Medium
5.71,4.78,5.26,1.13,36,55,8,5,5,7,5,4,6,Medium
7.59,3.96,6.57,3.29,50,132,3,7,8,5,6,7,5,Medium
7.52,3.73,7.92,3.08,26,212,4,7,3,4,4,4,7,Medium
7.04,5.38,6.7,2.81,12,191,4,7,3,4,6,4,4,Medium
5.78,5.31,6.77,2.47,34,105,5,8,7,1,8,4,5,Medium
6.66,5.24,6.66,2.47,35,0,4,6,6,4,2,4,8,Medium
6.95,8.19,8.88,0.8,4,173,2,7,7,9,9,5,5,Medium
6.72,6.64,8.02,8.02,34,97,4,8,9,8,7,5,5,High
6.2,5.19,8.33,2.19,52,103,4,8,8,7,7,5,5,Medium
6.48,4.98,6.71,2.09,32,103,6,6,7,9,9,7,8,Medium
6.26,5.36,8.72,1.49,34,53,5,6,7,4,6,3,7,Medium
6.95,7.81,7.19,2.54,27,46,4,6,7,4,6,9,4,Medium
7.23,7.57,8.06,1.68,25,114,3,8,9,9,4,4,7,High
7.18,6.22,8.09,3.07,6,46,3,7,6,6,7,4,7,Medium
7.3,4.29,5.4,2.61,16,35,7,6,2,3,5,5,6,Low
6.54,4.81,5.89,3.1,35,148,4,6,4,4,5,4,5,Medium
6.85,4.46,6.67,3.83,44,96,6,6,6,7,9,4,4,Medium
5.71,4.72,5.44,3.65,35,58,5,5,3,5,4,7,7,Medium
6.45,5.3,6.62,2.47,35,92,4,7,7,2,6,8,7,Medium
6.24,2.69,5.88,2.61,34,75,7,6,4,4,8,6,6,Low
6.32,4.28,6.88,2.38,42,10,6,6,5,5,5,5,7,Medium
6.6,6.52,6.15,3.52,29,100,3,6,5,4,8,3,5,Medium
7.24,2.4,7.84,2.41,29,143,7,6,6,5,10,3,7,Medium
7.39,3.1,6.15,4.07,32,87,7,6,5,4,7,6,7,Medium
6.51,5.2,6.7,1.8,31,113,5,3,3,5,9,7,7,Medium
6.13,5.9,4.97,2.47,34,41,2,6,4,4,10,7,8,Medium
7.42,7.29,6.1,4.09,60,191,7,3,7,7,5,8,7,Medium
6.51,6.9,5.81,2.62,49,150,6,5,7,6,9,6,6,Medium
7.06,5.9,6.82,3.95,71,140,5,5,4,6,7,6,6,Medium
6.7,6.75,6.86,3.84,35,142,4,7,8,8,6,7,5,Medium
6.78,6.34,6.83,3.79,44,168,5,6,8,6,9,6,6,Medium
7.02,6.46,8.28,2.36,62,165,4,6,6,8,3,9,6,Medium
6.43,6.54,7.51,3.83,55,208,6,6,9,7,8,9,5,Medium
5.53,4.49,5.58,2.8,58,40,6,7,7,6,7,7,5,Medium
7.03,3.6,8.0,4.48,55,131,6,6,6,5,10,9,7,Medium
7.83,5.4,7.06,4.33,70,153,5,4,6,5,7,6,6,Low
6.42,6.23,6.1,2.84,64,120,4,6,6,6,5,8,4,Medium
6.31,7.24,5.87,2.97,86,197,6,7,7,6,8,9,7,Medium
6.51,5.15,7.55,3.52,52,145,5,6,4,4,5,5,7,Medium
7.83,7.5,7.29,3.05,68,168,4,7,7,3,7,6,7,Medium
6.44,9.22,6.51,2.8,68,181,4,9,9,6,7,6,6,Medium
5.84,5.69,6.38,2.99,65,133,4,6,5,9,5,7,7,Medium
7.33,5.22,9.36,2.97,61,202,6,6,7,7,7,8,5,Medium
7.14,5.41,4.67,3.53,65,231,3,7,7,7,4,7,5,Medium
7.5,5.7,6.88,4.09,71,168,6,5,7,6,7,7,7,Medium
6.13,6.28,8.15,3.73,54,186,5,8,5,6,10,7,8,Medium
6.24,7.53,6.1,3.37,69,11,4,7,5,6,4,8,4,Medium
7.88,5.3,6.64,2.76,58,96,6,4,4,6,4,5,6,Medium
7.02,6.57,6.21,3.3,52,186,7,4,6,4,8,5,7,Medium
6.79,7.27,7.04,3.63,54,91,5,5,4,6,8,7,5,Low
6.27,7.09,6.37,3.36,73,90,4,7,8,8,7,7,6,Medium
6.2,4.72,5.86,4.21,84,308,4,7,6,5,9,7,7,Medium
5.22,9.04,6.88,3.66,39,143,3,6,9,8,7,6,6,High
6.34,7.62,8.88,4.66,50,295,5,10,9,8,6,7,7,High
7.22,6.98,8.95,3.34,25,245,3,9,10,5,6,6,7,High
6.23,6.17,7.68,3.47,61,197,4,8,8,10,3,6,6,High
7.64,7.66,7.67,3.45,60,217,5,9,9,8,7,8,8,Medium
6.29,7.3,8.56,3.41,47,249,4,10,6,8,7,5,4,High
5.78,9.26,9.28,3.83,75,273,1,8,7,7,4,7,6,High
6.95,6.26,8.0,4.0,57,168,4,5,7,8,5,6,5,Medium
7.17,6.8,8.85,3.33,65,71,5,6,7,2,6,10,6,Medium
7.0,4.18,6.95,3.45,68,257,3,8,8,8,9,7,5,Medium
6.58,5.83,8.03,2.94,64,170,3,6,6,6,6,8,5,Medium
6.92,6.67,5.98,3.88,66,96,5,3,5,6,6,7,8,Medium
6.58,6.82,7.01,3.07,56,93,5,6,5,6,4,8,6,Medium
8.36,5.96,7.56,2.98,40,62,5,4,5,5,6,7,8,Medium
7.81,7.69,6.79,2.93,55,136,4,6,6,9,6,8,5,Medium
7.8,5.48,7.16,2.1,53,190,3,5,6,8,5,6,8,Medium
7.37,7.94,7.06,3.77,42,204,5,4,8,3,8,6,4,Medium
7.19,5.93,7.06,3.85,77,172,4,4,6,6,7,6,7,Medium
6.56,6.29,6.95,2.43,58,249,5,7,3,7,5,8,6,Medium
5.99,5.54,7.46,4.14,36,168,5,5,5,4,5,7,6,Medium
7.46,5.42,8.44,4.39,57,154,6,7,8,6,6,8,5,Medium
6.98,5.5,6.76,3.83,60,231,4,4,5,6,8,6,7,Medium
6.77,6.05,8.62,4.18,75,128,4,6,8,5,7,8,7,Medium
6.99,5.24,8.33,2.73,44,129,6,4,5,3,5,4,8,Medium
6.0,7.32,7.2,3.35,70,138,2,7,7,5,7,5,8,Medium
5.72,5.63,7.97,4.01,69,194,4,7,7,5,6,7,5,Medium
6.69,6.03,8.19,3.51,50,0,4,5,6,6,5,9,8,Medium
5.63,6.94,7.97,3.28,74,134,6,6,6,8,8,8,7,Medium
7.18,4.69,6.72,4.04,46,45,2,6,4,8,8,8,6,Medium
6.77,6.09,6.97,4.58,53,57,3,6,5,5,2,6,7,Medium
7.81,6.07,8.02,4.53,55,126,5,5,3,7,7,8,4,Medium
6.9,5.89,7.47,4.0,39,155,4,6,6,6,7,6,8,Medium
5.9,6.45,7.45,4.93,41,186,4,8,7,5,5,6,5,Medium
6.51,8.51,7.82,3.41,68,196,5,6,5,6,10,6,4,Medium
7.54,7.59,7.69,3.67,65,159,4,6,6,6,10,8,6,Medium
6.65,8.93,5.59,2.62,52,40,7,5,6,7,7,6,7,Medium
8.77,5.34,7.9,4.61,59,168,5,5,6,6,6,10,6,Medium
7.53,6.13,7.63,2.29,65,85,2,6,7,7,4,9,5,Medium
6.77,5.73,7.5,3.27,55,180,4,6,8,5,8,9,6,Medium
7.07,7.45,6.3,2.67,60,68,6,7,7,6,5,7,6,Medium
6.98,5.07,7.77,3.73,54,26,5,6,5,5,4,7,7,Medium
5.85,7.98,8.03,3.89,44,225,4,7,9,8,2,7,5,High
5.74,10.24,8.3,2.77,48,244,4,8,8,6,7,9,5,High
7.0,7.17,8.43,2.68,32,187,1,7,9,8,7,9,5,High
6.91,7.47,7.61,3.28,60,142,4,6,10,10,8,5,7,Medium
4.36,8.64,6.78,3.7,44,172,5,7,8,7,7,9,6,High
5.75,8.36,8.02,2.69,63,232,3,9,9,8,7,9,6,High
6.76,8.87,6.85,3.38,59,229,3,7,9,9,8,10,7,High
4.86,6.86,7.73,3.59,52,308,4,6,9,9,7,7,6,High
6.77,5.87,6.78,2.96,69,224,6,6,8,2,6,8,6,Medium
6.66,6.26,6.55,3.42,60,77,5,5,6,6,6,6,6,Medium
7.12,6.8,6.67,3.27,54,236,5,6,5,4,7,7,5,Medium
6.93,7.54,8.02,3.68,59,117,4,8,6,5,7,7,5,Medium
6.39,5.83,5.89,1.93,62,172,7,5,7,7,8,7,7,Medium
5.84,6.06,7.99,2.58,54,95,6,6,8,9,5,7,6,Medium
7.22,4.35,8.7,3.08,46,101,3,7,5,5,5,8,8,Medium
6.45,6.76,8.36,3.78,63,262,2,5,7,7,6,9,7,Medium
7.19,4.8,6.99,3.99,68,311,6,6,5,6,6,4,7,Medium
5.88,6.47,4.23,4.23,59,199,4,6,4,7,4,8,7,Medium
6.32,6.94,5.87,4.19,50,170,5,6,6,4,6,7,8,Medium
6.41,7.97,7.28,3.27,59,140,3,4,6,8,8,4,10,Medium
6.84,6.07,7.64,3.05,55,230,5,5,7,7,5,8,7,Medium
6.19,6.76,7.98,1.69,20,58,5,5,6,4,6,6,5,Medium
6.66,5.13,9.11,0.68,14,21,5,5,4,6,7,5,7,Medium
7.11,4.2,9.29,3.28,23,22,5,6,7,6,6,6,5,Medium
7.51,3.92,9.14,2.23,21,0,4,6,7,6,7,8,5,Medium
6.32,5.0,10.92,1.3,30,34,3,8,5,4,6,7,4,Medium
7.29,5.88,6.23,2.52,13,79,5,5,6,4,6,6,6,Medium
7.08,4.98,8.85,2.01,27,28,3,6,7,5,7,5,6,Medium
7.33,6.91,8.18,1.76,12,13,4,6,5,5,5,4,7,Medium
7.6,4.83,7.63,2.67,24,32,5,6,7,5,5,7,6,Medium
7.35,5.19,9.2,2.5,24,20,7,6,4,4,8,7,7,Medium
7.12,7.37,9.46,2.74,15,0,6,8,7,8,3,7,6,Medium
7.37,6.53,8.13,2.63,26,19,5,4,6,6,7,7,6,Medium
7.3,6.13,8.19,1.66,0,14,3,6,6,5,9,4,5,Medium
6.9,4.53,6.39,2.25,47,21,5,5,2,3,6,7,6,Medium
6.31,7.34,8.51,1.29,25,15,3,8,7,6,6,5,5,Medium
7.02,6.24,7.5,2.42,22,0,5,5,8,5,5,4,9,Medium
7.06,6.2,6.84,3.48,23,0,4,5,6,5,9,7,6,Medium
7.52,5.27,8.05,1.87,20,54,4,6,4,6,9,3,5,Medium
6.61,7.82,10.07,1.53,17,0,4,8,5,6,5,5,5,Medium
7.7,5.44,7.73,1.04,33,21,4,7,4,8,6,6,6,Medium
7.85,4.42,8.47,1.29,31,0,5,6,4,5,6,6,7,Medium
6.29,7.66,8.87,1.43,19,22,3,8,3,8,10,6,5,Medium
6.77,5.39,6.7,1.64,14,30,4,6,7,7,6,8,7,Medium
6.9,6.22,8.74,2.47,18,0,4,8,7,6,4,8,7,High
7.78,3.93,9.25,2.66,15,0,5,7,7,3,8,6,8,Medium
6.69,7.48,8.06,3.53,15,0,5,6,5,4,5,8,6,Medium
7.65,5.83,7.28,1.79,0,126,5,4,6,5,3,7,5,Medium
8.1,7.14,6.87,2.43,40,21,6,5,8,7,4,8,9,Medium
6.24,6.74,8.62,2.41,15,114,2,9,8,10,3,8,6,High
7.13,8.86,8.6,2.39,13,66,3,6,10,8,8,6,6,Medium
7.08,6.74,10.05,1.95,22,101,5,9,8,7,4,7,4,Medium
6.82,6.85,9.68,2.33,10,87,3,7,6,8,4,7,5,Medium
5.83,9.21,8.14,1.38,27,9,3,9,7,6,6,6,4,High
6.17,8.03,9.27,0.93,16,138,5,8,8,8,5,8,6,High
7.08,7.06,8.3,1.98,30,0,3,9,7,7,7,6,5,High
6.27,7.12,8.08,2.0,0,129,4,6,10,8,5,5,6,Medium
6.42,7.37,8.5,0.91,34,62,4,7,6,6,7,4,4,Medium
7.98,5.17,7.94,3.2,9,35,3,8,7,4,6,8,6,Medium
6.72,6.0,8.09,2.01,0,8,5,6,7,4,4,6,7,Medium
7.22,6.27,7.98,1.18,0,0,3,4,5,6,7,6,5,Medium
8.15,4.89,8.31,2.13,20,0,6,6,8,4,2,7,4,Medium
7.38,5.24,6.51,1.6,50,0,4,4,5,6,7,6,7,Medium
7.63,4.97,6.64,2.41,11,50,5,5,7,5,5,7,7,Medium
7.51,6.76,8.04,2.79,20,68,5,6,7,6,6,6,8,Medium
7.45,5.63,7.73,3.11,22,94,2,6,4,9,6,7,4,Medium
7.81,5.35,8.57,2.75,0,13,5,5,4,6,7,4,7,Medium
7.66,5.32,7.56,2.7,21,0,2,8,6,7,6,5,6,Medium
8.24,6.65,7.38,2.29,20,76,5,5,7,6,8,5,6,Medium
7.86,3.64,7.29,1.78,34,50,4,5,5,4,9,6,8,Medium
6.57,5.13,8.55,2.84,0,95,4,4,5,8,5,6,6,Medium
7.26,6.86,7.96,1.6,20,39,4,7,7,5,5,6,5,Medium
7.5,6.06,7.61,2.06,39,0,8,3,5,5,8,5,8,Medium
7.54,4.88,8.59,3.15,16,120,4,6,5,6,10,8,8,Medium
7.07,6.07,9.33,1.48,30,98,5,5,4,2,6,7,6,Medium
7.31,4.3,10.43,2.06,23,0,3,5,4,5,6,6,5,Medium
7.28,6.34,8.26,2.05,10,0,5,5,5,7,5,6,6,Medium
6.88,4.09,6.16,2.53,5,0,6,6,5,5,7,8,7,Medium
7.01,7.07,9.21,1.21,40,39,4,7,8,8,7,6,5,Medium
7.96,6.25,9.35,1.79,1,3,5,6,5,5,6,7,8,Medium
8.46,4.99,9.12,2.96,21,0,6,5,8,6,6,5,6,Medium
7.63,5.6,8.44,0.85,10,0,6,6,6,5,5,8,6,Medium
8.05,6.52,7.12,2.33,3,0,3,4,5,6,6,6,5,Medium
6.8,6.44,6.83,2.0,16,0,3,6,2,7,9,7,5,Medium
7.85,5.24,6.74,1.97,19,7,4,4,5,7,7,5,7,Medium
7.62,6.12,6.79,1.1,18,21,4,6,8,5,5,6,7,Medium
6.92,5.49,9.34,2.2,19,0,5,6,9,6,9,6,6,Medium
6.76,2.72,6.86,3.13,16,0,4,7,7,7,8,5,7,Medium
7.59,6.25,8.32,3.14,40,51,6,4,9,5,6,6,6,Medium
6.03,3.91,7.06,0.38,27,21,3,7,6,6,6,9,6,Medium
6.23,7.09,8.96,2.35,8,56,4,6,10,8,4,7,7,Medium
4.76,7.04,8.16,1.56,27,73,6,8,7,5,4,6,6,Medium
6.91,5.79,8.69,3.57,0,0,2,8,9,9,8,4,6,High
6.91,7.09,11.09,1.69,22,71,4,7,10,8,3,6,7,Medium
6.61,6.68,9.05,1.7,7,69,1,8,9,9,8,8,4,High
6.89,6.38,7.91,1.58,12,65,4,7,5,8,7,9,5,Medium
6.94,6.12,9.14,1.73,20,116,5,8,7,7,3,7,5,Medium
6.69,7.12,8.09,2.14,26,59,6,5,7,7,6,7,7,Medium
6.82,6.24,10.37,1.79,4,54,5,8,7,6,7,6,6,Medium
7.71,6.15,7.8,2.66,23,29,7,6,7,4,7,4,7,Medium
8.79,6.22,7.16,1.66,27,0,4,5,3,4,10,7,6,Medium
6.81,5.02,6.69,1.82,30,0,5,8,5,4,5,6,6,Medium
7.46,4.22,9.88,2.46,3,24,3,8,4,5,4,6,6,Medium
7.11,8.2,8.42,1.79,22,76,6,6,8,4,6,5,7,Medium
6.36,7.28,8.81,1.93,17,54,3,8,6,7,5,3,5,Medium
7.6,5.66,8.2,3.57,38,13,5,5,4,8,5,7,6,Medium
7.35,4.56,8.93,2.68,20,21,5,6,6,5,6,4,5,Medium
7.41,4.71,10.19,2.06,27,0,5,5,9,5,10,6,7,Medium
7.76,4.65,8.34,2.19,13,99,6,6,7,5,9,7,5,Medium
6.93,5.65,6.69,2.76,15,0,4,8,6,3,9,6,6,Medium
6.86,4.66,7.79,1.84,32,225,4,6,7,5,6,5,8,Medium
7.36,4.64,7.73,3.23,2,256,5,6,8,5,8,2,5,Medium
8.09,2.12,8.05,2.69,24,226,6,5,5,6,6,3,6,Medium
8.21,2.11,8.37,2.35,37,267,4,5,7,4,7,6,6,Medium
7.69,3.09,7.55,0.99,28,274,6,6,6,6,7,6,6,Medium
7.53,2.95,8.39,1.68,26,286,3,8,7,5,6,6,7,Medium
7.98,2.96,8.31,1.92,12,245,5,4,6,6,7,7,6,Medium
7.84,2.4,4.86,1.71,24,178,4,6,7,9,6,7,6,Medium
7.97,1.97,6.9,2.62,24,226,3,5,7,4,5,6,6,Medium
6.98,2.03,8.63,2.91,41,218,4,7,6,7,8,4,5,Medium
7.72,2.26,7.74,2.09,24,160,2,6,7,7,7,3,4,Medium
8.73,3.31,6.33,2.25,32,193,3,3,7,7,5,3,7,Medium
8.26,3.26,6.61,1.92,13,209,5,4,6,9,7,3,6,Medium
6.85,4.39,7.81,1.44,40,288,5,6,8,7,6,5,5,Medium
8.17,2.53,8.36,1.92,37,304,4,6,7,7,4,7,6,Medium
8.25,4.02,6.44,1.35,32,207,5,6,5,2,10,5,6,Medium
7.81,0.94,9.12,3.34,31,93,7,4,8,1,6,6,6,Low
7.47,0.94,6.4,3.42,39,216,5,4,5,5,8,3,5,Medium
7.28,1.9,6.77,2.68,19,221,5,5,7,6,6,3,7,Medium
6.97,3.7,6.78,2.05,8,184,6,4,5,7,8,3,5,Medium
7.05,2.03,7.34,1.81,29,205,5,5,8,7,5,3,7,Medium
8.22,3.49,7.89,3.04,33,212,6,5,7,5,6,6,9,Medium
6.67,1.68,9.0,3.62,19,198,4,7,8,8,4,4,5,Medium
7.77,3.1,8.34,2.51,16,246,5,6,6,8,9,6,7,Medium
7.34,1.44,7.5,2.47,26,263,5,7,9,5,6,3,6,Medium
7.01,3.89,7.29,7.29,52,241,4,7,7,4,4,4,7,Medium
6.85,4.19,9.06,3.16,21,271,4,7,8,5,7,6,4,Medium
8.08,2.76,7.58,2.35,28,122,3,8,7,5,9,6,6,Medium
6.58,4.85,8.41,1.83,14,264,5,10,10,8,6,5,3,Medium
6.31,5.15,7.77,0.42,17,290,4,7,10,7,7,4,6,High
7.15,4.95,9.64,3.26,31,287,7,5,10,6,8,3,7,Medium
8.31,6.2,8.34,1.62,32,294,3,7,7,7,5,5,6,Medium
7.0,5.5,10.01,2.08,0,271,2,8,10,10,5,5,3,High
7.71,5.14,7.2,7.2,7,262,4,7,8,8,4,4,5,Medium
6.44,4.38,9.13,1.87,35,299,3,6,9,7,7,5,8,Medium
7.77,3.55,10.13,2.14,5,248,2,8,7,10,6,6,8,Medium
8.38,2.88,9.22,2.53,22,138,5,5,8,5,8,4,4,Medium
7.84,2.23,7.86,2.46,19,227,6,3,5,6,7,1,9,Low
8.13,0.77,7.21,1.6,21,219,5,5,6,5,7,7,5,Medium
7.41,4.1,9.94,1.54,33,226,3,7,4,5,8,4,6,Medium
8.01,4.27,10.67,1.87,31,193,3,5,7,10,6,3,4,Medium
7.78,2.82,9.24,9.24,25,198,4,7,6,5,5,5,5,Medium
7.63,3.32,6.59,2.32,11,113,2,6,7,6,8,4,5,Medium
8.68,2.6,6.91,1.9,16,225,5,6,9,3,5,5,6,Medium
7.58,2.43,7.88,2.99,31,123,5,5,4,5,6,4,7,Medium
6.96,2.31,6.42,2.42,27,172,7,2,8,9,9,4,7,Medium
7.16,2.89,8.44,1.7,20,294,3,7,7,6,8,7,6,Medium
6.9,1.66,6.81,2.57,24,220,2,5,7,7,10,6,7,Medium
8.55,3.6,6.88,3.28,10,160,5,5,7,7,6,4,6,Medium
5.92,2.42,6.19,2.51,43,119,6,6,5,8,10,6,6,Medium
6.95,2.52,8.79,1.67,26,233,4,6,5,7,5,3,8,Medium
7.65,1.9,8.69,2.09,28,244,6,5,5,7,7,5,7,Medium
7.34,2.12,9.03,2.06,24,303,6,6,9,7,6,5,6,Medium
7.6,1.66,7.57,1.98,24,214,3,7,6,6,6,4,4,Medium
6.66,2.18,7.33,2.18,10,141,7,4,6,4,7,3,9,Low
7.39,3.23,7.53,2.51,51,184,5,6,9,8,6,6,7,Medium
8.25,2.13,6.78,1.42,18,319,7,5,5,6,8,3,6,Medium
6.58,3.96,7.05,1.16,34,328,5,6,5,5,6,5,7,Medium
8.22,2.14,8.42,2.24,35,226,5,5,9,4,10,6,6,Medium
9.17,3.2,9.95,3.47,33,342,5,4,4,7,7,3,8,Medium
7.36,3.92,6.41,0.93,14,257,4,6,6,5,6,5,6,Medium
6.94,3.29,8.38,2.36,22,235,4,6,9,5,8,5,7,Medium
7.76,3.38,7.58,2.05,21,173,7,4,5,5,8,3,6,Medium
6.39,2.14,8.43,1.93,35,186,3,7,6,7,6,2,8,Medium
7.56,1.27,8.62,1.63,24,245,4,6,6,8,5,2,6,Medium
7.29,1.69,8.46,2.06,33,199,4,5,6,4,8,6,5,Medium
7.01,3.25,8.87,3.79,48,201,4,7,8,7,10,2,7,Medium
6.63,3.0,6.02,1.51,16,197,10,6,7,7,5,5,7,Medium
7.58,3.74,5.83,1.69,17,249,4,5,7,6,9,4,7,Medium
6.51,4.23,7.4,1.95,37,231,4,6,7,7,5,7,5,Medium
6.1,3.69,9.7,1.89,19,264,4,7,9,8,6,3,5,Medium
6.8,4.65,6.43,1.58,0,338,3,7,9,7,6,4,8,Medium
7.11,3.49,8.58,1.86,0,233,4,6,10,7,9,7,6,Medium
7.27,1.03,8.06,2.93,24,323,5,6,9,8,9,2,6,Medium
6.28,6.3,8.62,1.6,20,357,6,8,8,9,9,6,5,High
6.36,4.6,8.53,2.05,24,353,6,8,9,8,9,4,6,Medium
6.52,3.49,8.24,0.77,9,252,3,8,9,10,5,5,5,High
7.99,3.75,8.44,2.97,1,179,1,7,8,10,7,5,6,Medium
6.81,1.31,7.11,2.59,32,270,4,7,7,6,5,1,5,Medium
7.81,0.5,7.85,3.71,19,199,5,4,8,7,8,3,7,Medium
7.1,1.77,6.51,1.89,47,204,6,6,9,5,8,3,7,Medium
6.33,2.85,8.15,1.96,4,207,4,7,8,3,7,3,7,Medium
7.58,3.32,7.75,1.63,45,50,5,6,7,8,5,5,7,Medium
7.03,4.26,9.11,2.2,23,224,4,7,7,6,6,2,8,Medium
6.88,2.64,6.26,2.33,52,228,3,7,5,7,8,5,8,Medium
7.29,4.5,7.97,2.61,20,208,6,6,7,7,4,5,5,Medium
7.53,2.79,5.33,1.47,29,246,7,5,5,5,8,4,6,Medium
8.23,1.08,7.69,2.73,0,243,6,7,6,8,10,5,6,Medium
8.38,3.35,5.34,2.35,22,146,6,4,8,4,6,3,6,Low
7.5,1.1,6.46,2.12,25,197,3,6,6,9,6,4,6,Medium
7.47,4.35,5.75,1.53,14,72,4,6,8,10,5,5,5,Medium
6.43,5.64,4.38,1.91,6,72,5,6,6,6,8,4,5,Medium
7.31,3.49,6.96,1.67,4,19,4,5,10,8,5,2,6,Medium
6.66,3.79,6.19,2.24,0,41,4,8,6,7,6,3,5,Medium
6.2,4.8,4.18,1.21,10,0,4,10,8,9,7,6,5,High
7.81,5.22,6.31,2.14,12,97,4,5,8,6,7,4,5,Medium
7.27,4.5,8.75,1.32,27,73,4,5,8,6,4,3,6,Medium
7.26,4.68,5.86,1.29,14,99,6,5,10,6,7,2,6,Medium
6.83,3.9,6.35,3.18,31,29,3,7,4,7,7,1,6,Medium
6.65,3.4,10.17,2.13,2,130,4,6,6,9,6,2,5,Medium
6.13,4.69,5.97,2.17,0,1,4,7,8,6,4,2,7,Medium
7.14,3.2,6.67,1.96,29,68,5,4,6,8,6,3,5,Medium
6.66,4.09,6.12,1.74,5,169,2,7,9,7,9,4,7,Medium
6.44,5.09,5.24,2.89,20,8,6,6,5,6,6,1,7,Medium
7.68,5.56,5.28,1.55,23,109,5,5,7,4,5,5,6,Medium
6.75,5.13,5.74,1.98,10,101,6,7,7,4,6,5,8,Medium
6.11,2.57,6.7,2.21,18,70,6,8,8,7,7,7,7,Medium
6.98,4.93,6.1,1.04,18,115,6,7,7,5,8,3,6,Medium
6.41,5.1,7.05,2.42,15,108,5,5,7,9,5,5,7,Medium
7.04,5.62,7.07,1.99,25,0,4,5,7,6,7,4,6,Medium
5.57,5.06,4.67,1.83,2,80,5,6,4,8,5,5,6,Medium
5.36,2.35,7.5,2.39,26,56,5,7,8,8,5,6,8,Medium
6.36,2.66,8.14,2.84,17,0,5,5,7,8,7,3,8,Medium
6.43,3.56,6.33,2.75,33,18,4,7,8,8,6,5,6,Medium
7.4,3.41,7.57,2.94,10,30,5,6,7,7,7,2,6,Medium
6.5,6.96,4.6,3.4,7,0,4,7,7,9,7,5,6,Medium
6.8,3.09,4.52,1.95,0,11,4,5,8,8,7,2,5,Medium
5.97,5.85,5.87,2.75,12,47,5,9,9,9,3,3,4,High
4.67,7.81,6.78,2.14,0,128,7,8,9,8,4,3,7,Medium
6.35,3.48,7.07,0.97,2,152,5,7,8,10,7,3,5,Medium
5.87,5.68,7.5,2.78,13,176,2,8,8,9,3,3,5,High
4.87,5.22,6.35,1.46,12,117,4,9,8,10,5,3,6,High
6.37,5.48,6.62,6.62,14,148,3,9,8,9,6,4,5,Medium
6.85,6.21,6.41,1.88,34,0,2,10,10,8,6,4,5,High
6.38,6.23,6.28,1.73,0,69,3,8,10,9,4,2,7,High
7.2,4.85,5.39,1.87,37,180,4,8,9,8,6,3,6,Medium
6.61,3.19,5.41,3.29,14,89,4,7,8,6,5,2,5,Medium
8.87,3.45,6.62,2.01,31,70,3,7,6,5,9,2,5,Medium
6.69,3.46,6.29,1.44,28,70,3,5,7,9,7,4,5,Medium
6.65,4.31,6.31,3.31,12,42,5,8,7,5,7,3,5,Medium
7.36,3.28,6.34,2.61,18,78,3,5,6,8,6,3,6,Medium
7.09,3.95,5.34,1.39,0,48,5,4,8,6,4,3,6,Medium
5.84,3.96,7.17,2.83,30,103,4,6,5,7,7,6,8,Medium
6.76,4.36,5.81,2.81,14,88,3,6,8,5,8,3,5,Medium
6.41,4.36,5.39,1.99,31,7,4,9,7,6,9,4,6,Medium
